"user_id","email","password","country_code","created_at","updated_at"
"824664c0-140f-4f4a-9b58-13b6191d1405","portugal@gmail.com","12345678","352","2021-05-28",
"f06084b5-5f03-4458-bcb6-9f1da09da27f","spain@gmail.com","password","34","2021-05-28",
"f0d6c958-501d-4551-b3a7-7c194d9a62a7","ukraine@gmail.com","Pass123","380","2021-05-28",
"10bbf4a5-83b8-4767-b4eb-454f3d9c8ec0","england@gmail.com","DoNotForget","44","2021-05-28",
"8fbc6eda-d619-45ec-9bee-dd3e53ce38a8","ireland@gmail.com","trytoguess","44","2021-05-28",
"3b63c6e8-ddef-435d-a73b-9cce0d5befba","usa@gmail.com","javascript","1","2021-05-28",
"e97f0d74-45d3-473a-9569-f5f03a8da777","newyork@gmail.com","phpistheworst","1","2021-05-28",
"9e5f1a1b-9e3a-4c69-b2ec-a136f93e2ee2","la@gmail.com","hatejava","1","2021-05-28",
"1613c034-4880-42bf-aeb6-7ed359329f17","scotland@gmail.com","cplusplus","44","2021-05-28",
"ee698caa-5ad1-420d-ab60-2d9a587c933a","kharkiv@gmail.com","champion","380","2021-05-28",
